1.1.1	vqxXirAxEc
7.2.34	grasiwaskaBiwaswaBiwowwaBiwacawwavikaswaviSaswQSaMswqSAswqwaruwqwarUwqvaruwqvarUwqvaruwrIrujjvaliwikRariwikRamiwivamiwyamiwIwi ca
7.2.35	ArXaXAwukasyed valAxeH
7.2.36	snukramoranAwmanepaxanimiwwe
7.2.37	grahoZliti xIrGaH
7.2.38	vQwo vA
7.2.39	na lifi
7.2.40	sici ca parasmEpaxeRu
7.2.41	it sani vA
7.2.42	lifsicorAwmanepaxeRu
7.2.43	qwaSca saMyogAxeH
7.2.44	svarawisUwisUyawiXUFUxiwo vA
7.2.45	raXAxiByaSca
7.2.46	niraH kuRaH
7.2.47	iNniRTAyAm
7.2.48	wIRasahaluBaruRariRaH
7.2.49	sanIvanwarXaBrasjaxamBuSrisvqyUrNuBarajFapisanAm
7.2.50	kliSaH kwvAniRTayoH
7.2.51	pUfaSca
7.2.52	vasawikRuXorit
7.2.53	aFceH pUjAyAm
7.2.54	luBo vimocane
7.2.55	jQvraScyoH kwvi
7.2.56	uxiwo vA
7.2.57	seZsici kqwacqwacCqxawqxanqwaH
7.2.58	gamerit parasmEpaxeRu
7.2.59	na vqxByaScawurByaH
7.2.60	wAsi ca kLpaH
7.2.61	acaswAsvaw‌ Walyanito niwyam
7.2.62	upaxeSeZwvawaH
7.2.63	qwo BAraxvAjasya
7.2.64	baBUWAwawanWajagqmBavavarWewi nigame
7.2.65	viBARA sqjixqRoH
7.2.66	idawwyarwivyayawInAm
7.2.67	vasvekAjAxGasAm
7.2.68	viBARA gamahanavixaviSAm
7.2.69	saniMsasanivAMsam
7.2.70	qxXanoH sye
7.2.71	aFjeH sici
7.2.72	swusuXUFByaH parasmEpaxeRu
7.2.73	yamaramanamAwAM sak ca
7.2.74	smipUfraFjvaSAM sani
7.2.75	kiraSca paFcaByaH
7.2.76	ruxAxiByaH sArvaXAwuke
7.2.77	ISaH se
7.2.78	IdajanorXve ca
7.2.79	lifaH salopoZnanwyasya
7.2.80	awo yeyaH
7.2.81	Awo fiwaH
7.2.82	Ane muk
7.2.83	IxAsaH
7.2.84	aRtana A viBakwO
7.2.85	rAyo hali
7.2.86	yuRmaxasmaxoranAxeSe
7.2.87	xviwIyAyAM ca
7.2.88	praWamAyASca xvivacane BARAyAm
7.2.89	yoZci
7.2.90	SeRe lopaH
7.2.91	maparyanwasya
7.2.92	yuvAvO xvivacane
7.2.93	yUyavayO jasi
7.2.94	wvAhO sO
7.2.95	wuByamahyO fayi
7.2.96	wavamamO fasi
7.2.97	wvamAvekavacane
7.2.98	prawayowwarapaxayoSca
7.2.99	wricawuroH swriyAM wisqcawasq
7.2.100	aci ra qwaH
7.2.101	jarAyA jarasanyawarasyAm
7.2.102	wyaxAxInAmaH
7.2.103	kimaH kaH
7.2.104	ku wihoH
7.2.105	kvAwi
7.2.106	waxoH saH sAvananwyayoH
7.2.107	axasa O sulopaSca
7.2.108	ixamo maH
7.2.109	xaSca
7.2.110	yaH sO
7.2.111	ixoZy puMsi
7.2.112	anApyakaH
7.2.113	hali lopaH
7.2.114	mqjervqxXiH
7.2.115	aco FNiwi
7.2.116	awa upaXAyAH
7.2.117	waxXiweRvacAmAxeH
7.2.118	kiwi ca
7.3.1	xevikASiMSapAxiwyavAdxIrGasawraSreyasAmAw‌
7.3.2	kekayamiwwrayupralayAnAM yAxeriyaH
7.3.3	na yvAByAM paxAnwAByAm pUrvO wu wAByAmEc
7.3.4	xvArAxInAM ca
7.3.5	nyagroXasya ca kevalasya
7.3.6	na karmavyawihAre
7.3.7	svAgawAxInAM ca
7.3.8	SvAxeriFi
7.3.9	paxAnwasyAnyawarasyAm
7.3.10	uwwarapaxasya
7.3.11	avayavAxqwoH
7.3.12	susarvArXAjjanapaxasya
7.3.13	xiSoZmaxrANAm
7.3.14	prAcAM grAmanagarANAm
7.3.15	saMKyAyAH saMvawsarasaMKyasya ca
7.3.16	varRasyABaviRyawi
7.3.17	parimANAnwasyAsaMjFASANayoH
7.3.18	je proRTapaxAnAm
7.3.19	hqxBagasinXvanwe pUrvapaxasya ca
7.3.20	anuSawikAxInAM ca
7.3.21	xevawAxvaMxve ca
7.3.22	nenxrasya parasya
7.3.23	xIrGAcca varuNasya
7.3.24	prAcAM nagarAnwe
7.3.25	jafgalaXenuvalajAnwasya viBARiwamuwwaram‌
7.3.26	arXAw‌ parimANasya pUrvasya wu vA
7.3.27	nAwaH parasya
7.3.28	pravAhaNasya De
7.3.29	wawprawyayasya ca
7.3.30	naFaH SucISvarakRewrajFakuSalanipuNAnAm
7.3.31	yaWAwaWayaWApurayoH paryAyeNa
7.3.32	hanaswoZciNNaloH
7.3.33	Awo yuk ciNkqwoH
7.3.34	noxAwwopaxeSasya mAnwasyAnAcameH
7.3.35	janivaXyoSca
7.3.36	arwwihrIblIrIknUyIkRmAyyAwAM pufNO
7.3.37	SAcCAsAhvAvyAvepAM yuk
7.3.38	vo viXUnane juk
7.3.39	lIlornuglukAvanyawarasyAM snehavipAwane
7.3.40	Biyo hewuBaye Ruk
7.3.41	sPAyo vaH
7.3.42	SaxeragawO waH
7.3.43	ruhaH poZnyawarasyAm
7.3.44	prawyayasWAw‌ kAw‌ pUrvasyAwa ixApyasupaH
7.3.45	na yAsayoH
7.3.46	uxIcAmAwaH sWAne yakapUrvAyAH
7.3.47	BaswrERAZjAjFAxvAsvAnaFpUrvANAmapi
7.3.48	aBARiwapuMskAcca
7.3.49	AxAcAryANAm
7.3.50	TasyekaH
7.3.51	isusukwAnwAw‌ kaH
7.3.52	cajoH ku GinNyawoH
7.3.53	nyafkvAxInAM ca
7.3.54	ho hanwerFNinneRu
7.3.55	aByAsAcca
7.3.56	heracafi
7.3.57	sanlitorjeH
7.3.58	viBARA ceH
7.3.59	na kvAxeH
7.3.60	ajivqjyoSca
7.3.61	BujanyubjO pANyupawApayoH
7.3.62	prayAjAnuyAjO yajFAfge
7.3.63	vaFcergawO
7.3.64	oka ucaH ke
7.3.65	Nya AvaSyake
7.3.66	yajayAcarucapravacarcaSca
7.3.67	vacoZSabxasaMjFAyAm
7.3.68	prayojyaniyojyO SakyArWe
7.3.69	BojyaM BakRye
7.3.70	Gorlopo leti vA
7.3.71	owaH Syani
7.3.72	ksasyAci
7.3.73	lugvA xuhaxihalihaguhAmAwmanepaxe xanwye
7.3.74	SamAmaRtAnAM xIrGaH Syani
7.3.75	RTivuklamyAcamAM Siwi
7.3.76	kramaH parasmEpaxeRu
7.3.77	iRugamiyamAM CaH
7.3.78	pAGrAXmAsWAmnAxANxqSyarwwisarwwiSaxasaxAM pibajiGraXamawiRTamanayacCapaSyarcCaXOSIyasIxAH
7.3.79	jFAjanorjA
7.3.80	pvAxInAM hrasvaH
7.3.81	mInAwernigame
7.3.82	mixerguNaH
7.3.83	jusi ca
7.3.84	sArvaXAwukArXaXAwukayoH
7.3.85	jAgroZviciNNalfiwsu
7.3.86	puganwalaGUpaXasya ca
7.3.87	nAByaswasyAci piwi sArvaXAwuke
7.3.88	BUsuvoswifi
7.3.89	uwo vqxXirluki hali
7.3.90	UrNowerviBARA
7.3.91	guNoZpqkwe
7.3.92	wqNaha im
7.3.93	bruva It
7.3.94	yafo vA
7.3.95	wuruswuSamyamaH sArvaXAwuke
7.3.96	aswisicoZpqkwe
7.3.97	bahulaM Canxasi
7.3.98	ruxaSca paFcaByaH
7.3.99	adgArgyagAlavayoH
7.3.100	axaH sarveRAm
7.3.101	awo xIrGo yaFi
7.3.102	supi ca
7.3.103	bahuvacane Jalyew‌
7.3.104	osi ca
7.3.105	Afi cApaH
7.3.106	sambuxXO ca
7.3.107	ambAZrWanaxyorhrasvaH
7.3.108	hrasvasya guNaH
7.3.109	jasi ca
7.3.110	qwo fisarvanAmasWAnayoH
7.3.111	Gerfiwi
7.3.112	ANnaxyAH
7.3.113	yAdApaH
7.3.114	sarvanAmnaH syAdDrasvaSca
7.3.115	viBARA xviwIyAwqwIyAByAm
7.3.116	ferAmnaxyAmnIByaH
7.3.117	ixuxByAm
7.3.118	Ow‌
7.3.119	acca GeH
7.3.120	Afo nAZswriyAm
7.4.1	NO cafyupaXAyA hrasvaH
7.4.2	nAglopiSAsvqxiwAm
7.4.3	BrAjaBAsaBARaxIpajIvamIlapIdAmanyawarasyAm‌
7.4.4	lopaH pibawerIccAByAsasya
7.4.5	wiRTaweriw‌
7.4.6	jiGrawervA
7.4.7	urqw‌
7.4.8	niwyaM Canxasi
7.4.9	xayawerxigi liti
7.4.10	qwaSca saMyogAxerguNaH
7.4.11	qcCawyQwAm
7.4.12	SqxQprAM hrasvo vA
7.4.13	keZNaH
7.4.14	na kapi
7.4.15	ApoZnyawarasyAm
7.4.16	qxqSoZfi guNaH
7.4.17	asyawesWuk
7.4.18	SvayaweraH
7.4.19	pawaH pum
7.4.20	vaca um
7.4.21	SIfaH sArvaXAwuke guNaH
7.4.22	ayaf yi kfiwi
7.4.23	upasargAxXrasva UhaweH
7.4.24	ewerlifi
7.4.25	akqwsArvaXAwukayorxIrGaH
7.4.26	cvO ca
7.4.27	rIf qwaH
7.4.28	rif SayaglifkRu
7.4.29	guNoZrwisaMyogAxyoH
7.4.30	yafi ca
7.4.31	I GrAXmoH
7.4.32	asya cvO
7.4.33	kyaci ca
7.4.34	aSanAyoxanyaXanAyA buBukRApipAsAgarxXeRu
7.4.35	na cCanxasyapuwrasya
7.4.36	xurasyurxraviNasyurvqRaNyawiriRaNyawi
7.4.37	aSvAGasyAw‌
7.4.38	xevasumnayoryajuRi kATake
7.4.39	kavyaXvarapqwanasyarci lopaH
7.4.40	xyawisyawimAsWAmiwwi kiwi
7.4.41	SACoranyawarasyAm
7.4.42	xaXAwerhiH
7.4.43	jahAweSca kwvi
7.4.44	viBARA Canxasi
7.4.45	suXiwavasuXiwanemaXiwaXiRvaXiRIya ca
7.4.46	xo xax GoH
7.4.47	aca upasargAwwaH
7.4.48	apo Bi
7.4.49	saH syArxXaXAwuke
7.4.50	wAsaswyorlopaH
7.4.51	ri ca
7.4.52	ha ewi
7.4.53	yIvarNayorxIXIvevyoH
7.4.54	sani mImAGuraBalaBaSakapawapaxAmaca is
7.4.55	ApjFapyqXAmIw‌
7.4.56	xamBa icca
7.4.57	mucoZkarmakasya guNo vA
7.4.58	awra lopoZByAsasya
7.4.59	hrasvaH
7.4.60	halAxiH SeRaH
7.4.61	SarpUrvAH KayaH
7.4.62	kuhoScuH
7.4.63	na kavaweryafi
7.4.64	kqReSCanxasi
7.4.65	xAXarwixarXarwixarXarRiboBUwuwewikweZlarRyApanIPaNawsaMsaniRyaxawkarikrawkanikraxaxBariBraxxaviXvawoxavixyuwawwariwrawaHsarIsqpawaMvarIvqjanmarmqjyAganIganwIwi ca
7.4.66	uraw‌
7.4.67	xyuwisvApyoH samprasAraNam
7.4.68	vyaWo liti
7.4.69	xIrGa iNaH kiwi
7.4.70	awa AxeH
7.4.71	wasmAnnud xvihalaH
7.4.72	aSnoweSca
7.4.73	BavaweraH
7.4.74	sasUvewi nigame
7.4.75	nijAM wrayANAM guNaH SlO
7.4.76	BqFAmiw‌
7.4.77	arwipiparwyoSca
7.4.78	bahulaM Canxasi
7.4.79	sanyawaH
7.4.80	oH puyaNjyapare
7.4.81	sravawiSqNowixravawipravawiplavawicyavawInAM vA
7.4.82	guNo yaflukoH
7.4.83	xIrGoZkiwaH
7.4.84	nIgvaFcusraMsuXvaMsuBraMsukasapawapaxaskanxAm
7.4.85	nugawoZnunAsikAnwasya
7.4.86	japajaBaxahaxaSaBaFjapaSAM ca
7.4.87	caraPaloSca
7.4.88	uw‌ parasyAwaH
7.4.89	wi ca
7.4.90	rIgqxupaXasya ca
7.4.91	rugrikO ca luki
7.4.92	qwaSca
7.4.93	sanvallaGuni cafpareZnaglope
7.4.94	xIrGo laGoH
7.4.95	aw‌ smqxqwvarapraWamraxaswQspaSAm
7.4.96	viBARA veRticeRtyoH
7.4.97	I ca gaNaH
8.1.1	sarvasya xve
8.1.2	wasya paramAmrediwam‌
8.1.3	anuxAwwaM ca
8.1.4	niwyavIpsayoH
8.1.5	parervarjane
8.1.6	prasamupoxaH pAxapUraNe
8.1.7	uparyaXyaXasaH sAmIpye
8.1.8	vAkyAxerAmanwriwasyAsUyAsammawikopakuwsanaBarwsaneRu
8.1.9	ekaM bahuvrIhivaw‌
8.1.10	AbAXe ca
8.1.11	karmaXArayavaw‌ uwwareRu
8.1.12	prakAre guNavacanasya
8.1.13	akqcCre priyasuKayoranyawarasyAm
8.1.14	yaWAsve yaWAyaWam
8.1.15	xvanxvaM rahasyamaryAxAvacanavyuwkramaNayajFapAwraprayogABivyakwiRu
8.1.16	paxasya
8.1.17	paxAw‌
8.1.18	anuxAwwaM sarvamapAxAxO
8.1.19	Amanwriwasya ca
8.1.20	yuRmaxasmaxoH RaRTIcawurWIxviwIyAsWayorvAnnAvO
8.1.21	bahuvacane vasnasO
8.1.22	wemayAvekavacanasya
8.1.23	wvAmO xviwIyAyAH
8.1.24	na cavAhAhEvayukwe
8.1.25	paSyArWEScAnAlocane
8.1.26	sapUrvAyAH praWamAyA viBARA
8.1.27	wifo gowrAxIni kuwsanABIkRNyayoH
8.1.28	wiffawifaH
8.1.29	na lut
8.1.30	nipAwEryaxyaxihanwakuvinnecceccaNkaccixyawrayukwam
8.1.31	naha prawyAramBe
8.1.32	sawyaM praSne
8.1.33	afgAprAwilomye
8.1.34	hi ca
8.1.35	Canxasyanekamapi sAkAfkRam‌
8.1.36	yAvaxyaWAByAm
8.1.37	pUjAyAM nAnanwaram
8.1.38	upasargavyapewaM ca
8.1.39	wupaSyapaSyawAhEH pUjAyAm
8.1.40	aho ca
8.1.41	SeRe viBARA
8.1.42	purA ca parIpsAyAm
8.1.43	nanviwyanujFERaNAyAm
8.1.44	kiM kriyApraSneZnupasargamaprawiRixXam‌
8.1.45	lope viBARA
8.1.46	ehimanye prahAse lqt
8.1.47	jAwvapUrvam
8.1.48	kimvqwwaM ca cixuwwaram
8.1.49	Aho uwAho cAnanwaram
8.1.50	SeRe viBARA
8.1.51	gawyarWalotA lqNna cew‌ kArakaM sarvAnyaw‌
8.1.52	lot ca
8.1.53	viBARiwaM sopasargamanuwwamam‌
8.1.54	hanwa ca
8.1.55	Ama ekAnwaramAmanwriwamananwike
8.1.56	yaxXiwuparaM Canxasi
8.1.57	canacixivagowrAxiwaxXiwAmrediweRvagaweH
8.1.58	cAxiRu ca
8.1.59	cavAyoge praWamA
8.1.60	hewi kRiyAyAm
8.1.61	ahewi viniyoge ca
8.1.62	cAhalopa evewyavaXAraNam
8.1.63	cAxilope viBARA
8.1.64	vEvAvewi ca cCanxasi
8.1.65	ekAnyAByAM samarWAByAm
8.1.66	yaxvqwwAnniwyaM
8.1.67	pUjanAw‌ pUjiwamanuxAwwam (kARTAxiByaH)
8.1.68	sagawirapi wif
8.1.69	kuwsane ca supyagowrAxO
8.1.70	gawirgawO
8.1.71	wifi coxAwwavawi
8.1.72	AmanwriwaM pUrvam avixyamAnavaw‌
8.1.73	nAmanwriwe samAnAXikaraNe (sAmAnyavacanam)
8.1.74	viBARiwaM viSeRavacane bahuvacanam
8.2.1	pUrvawrAsixXam
8.2.2	nalopaH supsvarasaMjFAwugviXiRu kqwi
8.2.3	na mu ne
8.2.4	uxAwwasvariwayoryaNaH svariwoZnuxAwwasya
8.2.5	ekAxeSa uxAwwenoxAwwaH
8.2.6	svariwo vAZnuxAwwe paxAxO
8.2.7	nalopaH prAwipaxikAnwasya
8.2.8	na fisambuxXyoH
8.2.9	mAxupaXAyASca maworvoZyavAxiByaH
8.2.10	JayaH
8.2.11	saMjFAyAm
8.2.12	AsanxIvaxaRTIvaccakrIvawkakRIvaxrumaNvaccarmaNvawI
8.2.13	uxanvAnuxaXO ca
8.2.14	rAjanvAn sOrAjye
8.2.15	CanxasIraH
8.2.16	ano nut
8.2.17	nAxGasya
8.2.18	kqpo ro laH
8.2.19	upasargasyAyawO
8.2.20	gro yafi
8.2.21	aci viBARA
8.2.22	pareSca GAfkayoH
8.2.23	saMyogAnwasya lopaH
8.2.24	rAw‌ sasya
8.2.25	Xi ca
8.2.26	Jalo Jali
8.2.27	hrasvAxafgAw‌
8.2.28	ita Iti
8.2.29	skoH saMyogAxyoranwe ca
8.2.30	coH kuH
8.2.31	ho DaH
8.2.32	xAxerXAworGaH
8.2.33	vA xruhamuhaRNuhaRNihAm
8.2.34	naho XaH
8.2.35	AhasWaH
8.2.36	vraScaBrasjasqjamqjayajarAjaBrAjacCaSAM RaH
8.2.37	ekAco baSo BaR JaRanwasya sXvoH
8.2.38	xaXaswaWoSca
8.2.39	JalAM jaSoZnwe
8.2.40	JaRaswaWorXoZXaH
8.2.41	RaDoH kaH si
8.2.42	raxAByAM niRTAwo naH pUrvasya ca xaH
8.2.43	saMyogAxerAwo XAworyaNvawaH
8.2.44	lvAxiByaH
8.2.45	oxiwaSca
8.2.46	kRiyo xIrGAw‌
8.2.47	SyoZsparSe
8.2.48	aFcoZnapAxAne
8.2.49	xivoZvijigIRAyAm
8.2.50	nirvANoZvAwe
8.2.51	SuRaH kaH
8.2.52	paco vaH
8.2.53	kRAyo maH
8.2.54	praswyoZnyawarasyAm
8.2.55	anupasargAw‌ PullakRIbakqSollAGAH
8.2.56	nuxavixonxawrAGrAhrIByoZnyawarasyAm
8.2.57	na XyAKyApQmUrCimaxAm
8.2.58	viwwo BogaprawyayayoH
8.2.59	BiwwaM Sakalam
8.2.60	qNamAXamarNye
8.2.61	nasawwaniRawwAnuwwaprawUrwasUrwagUrwAni Canxasi
8.2.62	kvinprawyayasya kuH
8.2.63	naServA
8.2.64	mo no XAwoH
8.2.65	mvoSca
8.2.66	sasajuRo ruH
8.2.67	avayAHSvewavAHpurodASca
8.2.68	ahan
8.2.69	roZsupi
8.2.70	amnarUXaravariwyuBayaWA Canxasi
8.2.71	BuvaSca mahAvyAhqweH
8.2.72	vasusraMsuXvaMsvanaduhAM xaH
8.2.73	wipyanasweH
8.2.74	sipi XAwo rurvA
8.2.75	xaSca
8.2.76	rvorupaXAyA xIrGa ikaH
8.2.77	hali ca
8.2.78	upaXAyAM ca
8.2.79	na BakurCurAm
8.2.80	axasoZserxAxu xo maH
8.2.81	ewa Ixbahuvacane
8.2.82	vAkyasya teH pluwa uxAwwaH
8.2.83	prawyaBivAxeaSUxre
8.2.84	xUrAxXUwe ca
8.2.85	hEheprayoge hEhayoH
8.2.86	guroranqwoZnanwyasyApyekEkasya prAcAm
8.2.87	omaByAxAne
8.2.88	ye yajFakarmaNi
8.2.89	praNavaRteH
8.2.90	yAjyAZnwaH
8.2.91	brUhipresyaSrORadvORadAvahAnAmAxeH
8.2.92	agnIwpreRaNe parasya ca
8.2.93	viBARA pqRtaprawivacane heH
8.2.94	nigqhyAnuyoge ca
8.2.95	AmrediwaM Barwsane
8.2.96	afgayukwaM wif AkAfkRam
8.2.97	vicAryamANAnAm
8.2.98	pUrvaM wu BARAyAm
8.2.99	prawiSravaNe ca
8.2.100	anuxAwwaM praSnAnwABipUjiwayoH
8.2.101	cixiwi copamAZrWe prayujyamAne
8.2.102	uparisvixAsIxiwi ca
8.2.103	svariwamAmrediweZsUyAsammawikopakuwsaneRu
8.2.104	kRiyAZZSIHprEReRu wif AkAfkRam
8.2.105	ananwyasyApi praSnAKyAnayoH
8.2.106	pluwAvEca ixuwO
8.2.107	ecoZpragqhyasyAxUrAxXUwe pUrvasyArXasyAxuwwarasyexuwO
8.2.108	wayoryvAvaci saMhiwAyAm
8.3.1	mawuvaso ru sambuxXO Canxasi
8.3.2	awrAnunAsikaH pUrvasya wu vA
8.3.3	AwoZti niwyam
8.3.4	anunAsikAw‌ paroZnusvAraH
8.3.5	samaH suti
8.3.6	pumaH Kayyampare
8.3.7	naSCavyapraSAn
8.3.8	uBayaWarkRu
8.3.9	xIrGAxati samAnapaxe
8.3.10	nQn pe
8.3.11	svawavAn pAyO
8.3.12	kAnAmrediwe
8.3.13	Do De lopaH
8.3.14	ro ri
8.3.15	KaravasAnayorvisarjanIyaH
8.3.16	roH supi
8.3.17	BoBagoaGoapUrvasya yoZSi
8.3.18	vyorlaGuprayawnawaraH SAkatAyanasya
8.3.19	lopaH SAkalyasya
8.3.20	owo gArgyasya
8.3.21	uFi ca paxe
8.3.22	hali sarveRAm
8.3.23	moZnusvAraH
8.3.24	naScApaxAnwasya Jali
8.3.25	mo rAji samaH kvO
8.3.26	he mapare vA
8.3.27	napare naH
8.3.28	fNoH kuktuk Sari
8.3.29	daH si Xut
8.3.30	naSca
8.3.31	Si wuk
8.3.32	famo hrasvAxaci famuNniwyam
8.3.33	maya uFo vo vA
8.3.34	visarjanIyasya saH
8.3.35	Sarpare visarjanIyaH
8.3.36	vA Sari
8.3.37	kupvoH VkaVpO ca
8.3.38	soZpaxAxO
8.3.39	iNaH RaH
8.3.40	namaspurasorgawyoH
8.3.41	ixuxupaXasya cAprawyayasya
8.3.42	wirasoZnyawarasyAm
8.3.43	xviswriScawuriwi kqwvoZrWe
8.3.44	isusoH sAmarWye
8.3.45	niwyaM samAseZnuwwarapaxasWasya
8.3.46	awaH kqkamikaMsakumBapAwrakuSAkarNIRvanavyayasya
8.3.47	aXaHSirasI paxe
8.3.48	kaskAxiRu ca
8.3.49	Canxasi vAZprAmrediwayoH
8.3.50	kaHkarawkarawikqXikqweRvanaxiweH
8.3.51	paFcamyAH parAvaXyarWe
8.3.52	pAwO ca bahulam
8.3.53	RaRTyAH pawipuwrapqRTapArapaxapayaspoReRu
8.3.54	idAyA vA
8.3.55	apaxAnwasya mUrXanyaH
8.3.56	saheH sAdaH saH
8.3.57	iNkoH
8.3.58	numvisarjanIyaSarvyavAyeZpi
8.3.59	AxeSaprawyayayoH
8.3.60	SAsivasiGasInAM ca
8.3.61	swOwiNyoreva RaNyaByAsAw‌
8.3.62	saH svixisvaxisahInAM ca
8.3.63	prAksiwAxadvyavAyeZpi
8.3.64	sWAZZxiRvaByAsena cAByAsaya
8.3.65	upasargAw‌ sunowisuvawisyawiswOwiswoBawisWAsenayaseXasicasaFjasvaFjAm
8.3.66	saxirapraweH
8.3.67	swamBeH
8.3.68	avAccAlambanAvixUryayoH
8.3.69	veSca svano Bojane
8.3.70	pariniviByaH sevasiwasayasivusahasutswusvaFjAm
8.3.71	sivAxInAM vAZdvyavAyeZpi
8.3.72	anuviparyaBiniByaH syanxaweraprANiRu
8.3.73	veH skanxeraniRTAyAm
8.3.74	pareSca
8.3.75	pariskanxaH prAcyaBaraweRu
8.3.76	sPurawisPulawyornirniviByaH
8.3.77	veH skaBnAwerniwyam
8.3.78	iNaH RIXvaMluf‌litAM XoZfgAw‌
8.3.79	viBARetaH
8.3.80	samAseZfguleH safgaH
8.3.81	BIroH sWAnam
8.3.82	agneH swuwswomasomAH
8.3.83	jyowirAyuRaH swomaH
8.3.84	mAwqpiwqByAM svasA
8.3.85	mAwuHpiwurByAmanyawarasyAm‌
8.3.86	aBinisaH swanaH SabxasaMjFAyAm
8.3.87	upasargaprAxurByAmaswiryacparaH
8.3.88	suvinirxurByaH supisUwisamAH
8.3.89	ninaxIByAM snAweH kOSale
8.3.90	sUwraM prawiRNAwam‌
8.3.91	kapiRTalo gowre
8.3.92	praRToZgragAmini
8.3.93	vqkRAsanayorviRtaraH
8.3.94	CanxonAmni ca
8.3.95	gaviyuXiByAM sWiraH
8.3.96	vikuSamipariByaH sWalam
8.3.97	ambAmbagoBUmisavyApaxviwrikuSekuSafkvafgumaFjipuFjiparamebarhirxivyagniByaH sWaH
8.3.98	suRAmAxiRu ca
8.3.99	Ewi saMjFAyAmagAw‌
8.3.100	nakRawrAxvA
8.3.101	hrasvAw‌ wAxO waxXiwe
8.3.102	nisaswapawAvanAsevane
8.3.103	yuRmawwawwawakRuHRvanwaHpAxam
8.3.104	yajuRyekeRAm
8.3.105	swuwaswomayoSCanxasi
8.3.106	pUrvapaxAw‌
8.3.107	suFaH
8.3.108	sanoweranaH
8.3.109	saheH pqwanarwAByAM ca
8.3.110	na raparasqpisqjispqSispqhisavanAxInAm
8.3.111	sAwpaxAxyoH
8.3.112	sico yafi
8.3.113	seXawergawO
8.3.114	prawiswabXaniswabXO ca
8.3.115	soDaH
8.3.116	swamBusivusahAM cafi
8.3.117	sunoweH syasanoH
8.3.118	saxiRvaFjoH parasya liti
8.3.119	nivyaBiByoZdvyAvaye vA Canxasi
8.4.1	raRAByAM no NaH samAnapaxe
8.4.2	atkupvAfnumvyavAyeZpi
8.4.3	pUrvapaxAw‌ saMjFAyAmagaH
8.4.4	vanaM puragAmiSrakAsiXrakASArikAkotarAZgreByaH
8.4.5	praniranwaHSarekRuplakRAmrakArRyaKaxirapiyUkRAByoZsaMjFAyAmapi
8.4.6	viBARORaXivanaspawiByaH
8.4.7	ahnoZxanwAw‌
8.4.8	vAhanamAhiwAw‌
8.4.9	pAnaM xeSe
8.4.10	vA BAvakaraNayoH
8.4.11	prAwipaxikAnwanumviBakwiRu ca
8.4.12	ekAjuwwarapaxe NaH
8.4.13	kumawi ca
8.4.14	upasargAxasamAseZpi NopaxeSasya
8.4.15	hinumInA
8.4.16	Ani lot
8.4.17	nergaxanaxapawapaxaGumAsyawihanwiyAwivAwixrAwipsAwivapawivahawiSAmyawicinowixegXiRu ca
8.4.18	SeRe viBARAZkaKAxAvaRAnwa upaxeSe
8.4.19	aniweH
8.4.20	anwaH
8.4.21	uBO sAByAsasya
8.4.22	hanwerawpUrvasya
8.4.23	vamorvA
8.4.24	anwaraxeSe
8.4.25	ayanaM ca
8.4.26	CanxasyqxavagrahAw‌
8.4.27	naSca XAwusWoruRuByaH
8.4.28	upasargAx bahulam
8.4.29	kqwyacaH
8.4.30	NerviBARA
8.4.31	halaSca ijupaXAw‌
8.4.32	ijAxeH sanumaH
8.4.33	vA niMsanikRaninxAm
8.4.34	na BABUpUkamigamipyAyIvepAm
8.4.35	RAw‌ paxAnwAw‌
8.4.36	naSeH RAnwasya
8.4.37	paxAnwasya
8.4.38	paxavyavAyeZpi
8.4.39	kRuBnAZZxiRu ca
8.4.40	swoH ScunA ScuH
8.4.41	RtunA RtuH
8.4.42	na paxAnwAttoranAm
8.4.43	woH Ri
8.4.44	SAw‌
8.4.45	yaroZnunAsikeZnunAsiko vA
8.4.46	aco rahAByAM xve
8.4.47	anaci ca
8.4.48	nAxinyAkroSe puwrasya
8.4.49	SaroZci
8.4.50	wripraBqwiRu SAkatAyanasya
8.4.51	sarvawra SAkalyasya
8.4.52	xIrGAxAcAryANAm
8.4.53	JalAM jaS JaSi
8.4.54	aByAse carcca
8.4.55	Kari ca
8.4.56	vAZvasAne
8.4.57	aNoZpragqhyasyAnunAsikaH
8.4.58	anusvArasya yayi parasavarNaH
8.4.59	vA paxAnwasya
8.4.60	worli
8.4.61	uxaH sWAswamBoH pUrvasya
8.4.62	Jayo hoZnyawarasyAm
8.4.63	SaSCoZti
8.4.64	halo yamAM yami lopaH
8.4.65	Jaro Jari savarNe
8.4.66	uxAwwAxanuxAwwasya svariwaH
8.4.67	noxAwwasvariwoxayamagArgyakASyapagAlavAnAm‌
8.4.68	a a iwi
